syoung	admin	Project1	Workflow1	0	FTP	1	filter	0	0	input	filter	string	--filter		optional		Download only files containing this text fragment				0
syoung	admin	Project1	Workflow1	0	FTP	1	outputdir	0	0	input	outputdir	directory	--outputdir	Project1/Workflow1/downloads	required		Create this directory and download files to it				0
syoung	admin	Project1	Workflow1	0	FTP	1	regex	0	0	input	regex	string	--regex	chr[XYM0-9]+\.fa\.gz	optional		Download files matching this regular expression				0
syoung	admin	Project1	Workflow1	0	FTP	1	type	0	0	input	type	string	--type	html	essential		Type of page: html or text				0
syoung	admin	Project1	Workflow1	0	FTP	1	url	0	0	input	url	string	--url	http://hgdownload.cse.ucsc.edu/goldenPath/hg19/chromosomes	required		Download files linked on this page				0
syoung	admin	Project1	Workflow1	0	unzipFiles	2	regex	0	0	input	filter	string	--regex	chr[0-9MYX]+\\.fa\\.gz	optional		Unzip only files matching this regular expression				0
syoung	admin	Project1	Workflow1	0	unzipFiles	2	type	0	0	input	type	string	--type	gunzip	required		Name of unzip application (unzip|gunzip) (DEFAULT: gunzip)				0
syoung	admin	Project1	Workflow1	0	unzipFiles	2	filter	0	0	input	filter	string	--filter		optional		Unzip only files containing this text fragment				0
syoung	admin	Project1	Workflow1	0	unzipFiles	2	inputdir	0	0	input	inputdir	directory	--inputdir	Project1/Workflow1/downloads	essential		Name of unzip application (unzip|gunzip) (DEFAULT: gunzip)	input.outputdir.value	InputParams		1
syoung	admin	Project1	Workflow1	0	unzipFiles	2	outputdir	0	0	input	outputdir	directory	--outputdir	Project1/Workflow1/downloads	required		Unzip files to this directory	input.outputdir.value	InputParams		1
syoung	admin	Project1	Workflow4	0	FTP	1	filter	0	0	input	filter	string	--filter		optional		Download only files containing this text fragment				0
syoung	admin	Project1	Workflow1	0	elandIndex	3	inputdir	0	0	input	inputdir	directory	--inputdir	Project1/Workflow1/downloads	essential		Location of directory containing *.fa files	input.inputdir.value,input.outputdir.value	inputdir,outputdir	if ( inputdir != null ) return inputdir; if ( outputdir != null ) return outputdir;	1
jgilbert	admin	Project1	Workflow1	1	MAQ	1	splitfile	0	0	input	splitfile	file	--splitfile	Project1/Workflow1/splitfile	optional		File containing list of batch input sequence file locations				
jgilbert	admin	Project1	Workflow1	1	MAQ	1	species	0	0	input	species	String	--species	human	required		Species name (e.g., human, mouse)				
